阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
809,0,午底了，该补死帐了,负,"http://guba.eastmoney.com/news,000001,889253894.html",股友ZGgU5M,2020/11/29 14:16,2,,
787,0,狗屎垃圾，都不知道用什么骂你了！,负,"http://guba.eastmoney.com/news,000001,889253286.html",股海重生脱胎换骨,2020/11/29 14:15,25,,
941,1,这一波下来确实没有啥反弹，一路顺风就下来了,负,"http://guba.eastmoney.com/news,000001,889252716.html",天残八废,2020/11/29 14:15,2,,大槪要到11-13，14是他们领导共同的坎……
869,1,你有点底线啊,负,"http://guba.eastmoney.com/news,000001,889247395.html",股友hwPV4I,2020/11/29 14:05,2,,熊大熊二见底，年内资金紧，个股风险大
752,0,下吧，我看啥时候到底,负,"http://guba.eastmoney.com/news,000001,889245468.html",周先生66666,2020/11/29 14:01,15,,
922,3,我买了以后一直跌,负,"http://guba.eastmoney.com/news,000001,889240414.html",希望我幸运,2020/11/29 13:51,2,,是的啊，手气太差-----宁波银行都没有这样凶狠-----我也是半仓，进来了……坚持吧……-----上了航了不要言下……挣一分在说吧……
966,2,谁能借点钱来加仓[哭],负,"http://guba.eastmoney.com/news,000001,889240625.html",新鲜韭菜苗子,2020/11/29 13:49,1,,大家一样的……-----三个字，苦，苦，苦……
950,0,快抢 月线历史大底,负,"http://guba.eastmoney.com/news,000001,889240197.html",梅事聊,2020/11/29 13:49,3,,
913,2,买洋河洋河跌，买平安银行也跌，买中国人保吧[哭],负,"http://guba.eastmoney.com/news,000001,889231545.html",辛巴达1,2020/11/29 13:30,15,,人保也跌-----对人保也跌
806,0,得亏前几天卖了，平安保险也跌成这样了,负,"http://guba.eastmoney.com/news,000001,889231034.html",辛巴达1,2020/11/29 13:30,15,,
781,0,银行证券不仅不护盘，还跟着砸，这个月亏惨了,负,"http://guba.eastmoney.com/news,000001,889230898.html",炒股挣学费v,2020/11/29 13:29,2,,
720,0,扶不起的阿斗,负,"http://guba.eastmoney.com/news,000001,889229228.html",高飞334,2020/11/29 13:26,1,,
856,1,破了15，就凉凉,负,"http://guba.eastmoney.com/news,000001,889227553.html",股友ABOXum,2020/11/29 13:23,2,,破15要换领导了……
1038,3,要跌到哪自己看，权重跌完了才有行情,负,"http://guba.eastmoney.com/news,000001,889226112.html",股乖精灵,2020/11/29 13:19,3,,----------心塞-----如果破了15，必须有一个跌停直接进入13时代……换领导，拉升到17-19-23……
698,0,没有最低，只有更低,负,"http://guba.eastmoney.com/news,000001,889223655.html",弥海沙,2020/11/29 13:13,15,,
1041,2,求告知什么是个头啊，我17的本,负,"http://guba.eastmoney.com/news,000001,889221267.html",我是南极的企鹅,2020/11/29 13:08,25,,躺平等明年-----机构慢慢减仓所以慢慢跌至于他们的成本估计几块钱
648,0,出掉，13再慢慢吃,负,"http://guba.eastmoney.com/news,000001,889213500.html",風雾霾,2020/11/29 12:26,25,,
685,0,年后8元见，慢慢熬吧，都在减仓清仓,负,"http://guba.eastmoney.com/news,000001,889209731.html",那年那月那日,2020/11/29 12:11,35,,
668,0,每天跌一点,负,"http://guba.eastmoney.com/news,000001,889209441.html",股友3c9ZuP,2020/11/29 12:11,5,,
667,0,60分钟周期是天花板行情，股价将下杀,负,"http://guba.eastmoney.com/news,000001,889209751.html",专注pro,2020/11/29 12:10,25,,
1293,3,周线月线全部挂了，看看历来的走势，要跌5个月，现在,负,"http://guba.eastmoney.com/news,000001,889207783.html",股乖精灵,2020/11/29 12:05,3,,赞-----10块以下抄底-----谢谢提醒，我空仓等机会建仓
799,1,这样跌法，有什么意思？[兴奋][兴奋][兴奋][兴奋],负,"http://guba.eastmoney.com/news,000001,889207099.html",Ken34359,2020/11/29 12:02,2,,临近年底，有些人需要变现。
674,0,这样跌法，有什么意思？[兴奋][兴奋][兴奋][兴奋],负,"http://guba.eastmoney.com/news,000001,889207096.html",Ken34359,2020/11/29 12:00,2,,
714,0,15元不久后会破，17，16的全部站岗了，真是惨,负,"http://guba.eastmoney.com/news,000001,889206080.html",水镜zzz,2020/11/29 11:59,3,,
768,2,银行上涨，为何平安还是下跌？还能回16吗,负,"http://guba.eastmoney.com/news,000001,889206535.html",股友ABOXum,2020/11/29 11:59,2,,长期看可以回本。-----长期看可以回本。-----就怕长期好久
585,0,麻辣隔壁，天天跌,负,"http://guba.eastmoney.com/news,000001,889205550.html",fgx968968,2020/11/29 11:57,1,,
733,1,缺口，要补吗？,负,"http://guba.eastmoney.com/news,000001,889206026.html",股友XQPGLX,2020/11/29 11:56,25,,对于个股，讨论缺口的意义不大。所谓缺口回补，一般都是针对大盘或者指数来说的。
592,0,卧槽，啥情况,负,"http://guba.eastmoney.com/news,000001,889205218.html",溜溜呦呦,2020/11/29 11:55,2,,
578,0,完了，歇逼哦,负,"http://guba.eastmoney.com/news,000001,889204526.html",基民dTUno3,2020/11/29 11:54,2,,
533,0,废柴,负,"http://guba.eastmoney.com/news,000001,889205256.html",leileinan,2020/11/29 11:54,1,,
576,0,真垃圾啊，真他妈无语,负,"http://guba.eastmoney.com/news,000001,889202984.html",溜溜呦呦,2020/11/29 11:48,2,,
2336,9,股价下跌至15.50元附近，不但没有明显的缩量反而增加,负,"http://guba.eastmoney.com/news,000001,888712389.html",专注pro,2020/11/29 11:42,25,,大阴线同时下切断多条均线。庄出货意图明显。-----调整末期是没有抵抗信号的。有抵抗就没到底。这就是所谓的，散户买的进去就不是底。-----调整末期是没有抵抗信号的。有抵抗就没到底。这就是所谓的，散户买的进去就不是底。-----但愿能反抽。-----调整末期是没有抵抗信号的。有抵抗就没到底。这就是所谓的，散户买的进去就不是底。-----但愿能反抽。-----调整末期是没有抵抗信号的。有抵抗就没到底。这就是所谓的，散户买的进去就不是底。-----刚说完15.4就挂了一大堆单子。呵呵。你要的支撑来了。。我翻到愁了。-----上图发错了-----庄出货意图明显。-----调整末期是没有抵抗信号的。有抵抗就没到底。这就是所谓的，散户买的进去就不是底。-----招行暴雷，平银更艰难了-----庄出货意图明显。-----股价下跌，成交量如果没有明显的减少，后市还会下跌继续，目前的K线形态走势没有明显的技术背离，只要股价上涨到大周期均线就下跌，创新底是一定的，如果有补仓的想法最好三思，
719,1,这波套了这么多人,负,"http://guba.eastmoney.com/news,000001,889174202.html",A人定胜贪,2020/11/29 11:39,2,,追高的都送钱了
618,0,大盘一片凉凉,负,"http://guba.eastmoney.com/news,000001,889196504.html",夫子庙的操盘手,2020/11/29 11:30,25,,
705,1,下午再跌一毛钱就差不多了[鼓掌][鼓掌][鼓掌],负,"http://guba.eastmoney.com/news,000001,889194416.html",franciskam,2020/11/29 11:23,2,,你这个空头想买么？
585,0,垃圾中的战斗机,负,"http://guba.eastmoney.com/news,000001,889191977.html",红红红的红太狼,2020/11/29 11:16,1,,
568,0,没一天上涨的反弹一下都没有,负,"http://guba.eastmoney.com/news,000001,889191427.html",股友pJyqYH,2020/11/29 11:14,15,,
780,2,16.58被套住了[哭],负,"http://guba.eastmoney.com/news,000001,889183046.html",鹤球子,2020/11/29 10:58,15,,16块多的人大把的-----16.23本
613,0,非逼着我做股东,负,"http://guba.eastmoney.com/news,000001,889179078.html",张铁牛是我,2020/11/29 10:49,15,,
595,0,平安银行你是个憨憨吧。废物一个,负,"http://guba.eastmoney.com/news,000001,889176227.html",蓝天帅帅帅,2020/11/29 10:47,2,,
606,0,银行板块最近你跌得最多,负,"http://guba.eastmoney.com/news,000001,889177143.html",大笑姑婆小妮子,2020/11/29 10:46,2,,
680,0,这平安银行的领导，是不是该换了！股价被别人随意蹂躏,负,"http://guba.eastmoney.com/news,000001,889173442.html",股友NoBtiw,2020/11/29 10:39,1,,
585,0,大盘只要好点银行就要砸盘，狗日的控股人,负,"http://guba.eastmoney.com/news,000001,889167298.html",旺到爆点,2020/11/29 10:29,3,,
660,1,人家都涨看看你,负,"http://guba.eastmoney.com/news,000001,889161507.html",yl乐乐2594,2020/11/29 10:23,1,,分红=5%？呆账死账假账---浙商银行、渝农商行还要跌30%！平安银行=9.74元！-----同志们请关注:-----中行、农行、恒源煤电、宝钢股份、大秦铁路、友阿股份、金能科技、华锦股份、华泰股份、吉华集团、合肥百货、新凤鸣、浙能电力相对不错，爽歪歪！好股票，立帖为证！
550,0,这次真的好弱,负,"http://guba.eastmoney.com/news,000001,889160533.html",阳光彩虹一起来,2020/11/29 10:20,15,,
544,0,平安让人死啊是想！,负,"http://guba.eastmoney.com/news,000001,889155719.html",股友zBoJC8,2020/11/29 10:11,0,,
534,0,会跌你就多跌点加带力度嗷,负,"http://guba.eastmoney.com/news,000001,889152906.html",wodeshare,2020/11/29 10:04,0,,
508,0,中国的股市真你马垃圾~,负,"http://guba.eastmoney.com/news,000001,889152101.html",股友gGMxg7,2020/11/29 10:04,1,,
512,0,把平安砸到5块[大笑],负,"http://guba.eastmoney.com/news,000001,889152411.html",不到跌停不出手,2020/11/29 10:04,3,,
537,0,这货要跌到9元,负,"http://guba.eastmoney.com/news,000001,889152409.html",股友pJyqYH,2020/11/29 10:03,15,,
524,0,狗屎垃圾中垃圾！,负,"http://guba.eastmoney.com/news,000001,889149361.html",股海重生脱胎换骨,2020/11/29 9:58,25,,
623,1,MD！谁在往下砸？,负,"http://guba.eastmoney.com/news,000001,889144399.html",gxlbr,2020/11/29 9:48,2,,我在砸，绝对不会让你们出来的，安心持有哈哈
597,1,这货每天有新低[滴汗],负,"http://guba.eastmoney.com/news,000001,889143136.html",ally10,2020/11/29 9:46,15,,股灾
526,0,阴跌不止！,负,"http://guba.eastmoney.com/news,000001,889142459.html",gxlbr,2020/11/29 9:44,2,,
925,0,买这垃圾股倒霉了，套住走不了了，,负,"http://guba.eastmoney.com/news,000001,889084511.html",披着羊皮的狼88,2020/11/28 19:40,3,,
897,0,又到尾盘拉一波,负,"http://guba.eastmoney.com/news,000001,889034418.html",韭菜盒子弹,2020/11/28 14:54,2,,
876,0,垃圾啊！,负,"http://guba.eastmoney.com/news,000001,889030170.html",神评鉴定师,2020/11/28 14:49,15,,
886,0,空仓不害怕，加油跌！,负,"http://guba.eastmoney.com/news,000001,889030968.html",止盈止盈止盈,2020/11/28 14:47,2,,
880,1,2分又玩了一天[想一下][想一下][想一下],负,"http://guba.eastmoney.com/news,000001,889028385.html",股友2UXYDD0709,2020/11/28 14:44,1,,1分钱玩一天-----
698,0,真垃圾桶没有人玩了,负,"http://guba.eastmoney.com/news,000001,889021014.html",披着羊皮的狼88,2020/11/28 14:34,3,,
850,2,全卖了,负,"http://guba.eastmoney.com/news,000001,889014721.html",風雾霾,2020/11/28 14:19,25,,老乡别走，明天要涨了----------股市已经是病太了
799,1,它儿子中国平安还在跌喔,负,"http://guba.eastmoney.com/news,000001,889005672.html",風雾霾,2020/11/28 14:03,25,,那是他爸爸
714,0,这股票就是砸大盘的,负,"http://guba.eastmoney.com/news,000001,888999790.html",五行属土,2020/11/28 13:50,2,,
672,0,又开始往下砸了！,负,"http://guba.eastmoney.com/news,000001,888994087.html",gxlbr,2020/11/28 13:37,2,,
918,6,一分钱玩一天吗？,负,"http://guba.eastmoney.com/news,000001,888989586.html",枫之祈祷,2020/11/28 13:29,2,,一分钱，想多了-----一分钱，想多了-----为什么叫我想多了？-----每天要跌二毛多-----一分钱，想多了-----他意思是后面还得继续跌-----每天要跌二毛多-----跌了你好像很开心是的，你这种人就是心态不好，自己不敢补仓，又见不得别人赚钱。-----他意思是后面还得继续跌-----跌就补仓啊，难道追涨吗？
583,0,无语了。。。,负,"http://guba.eastmoney.com/news,000001,888692630.html",奔跑的二师弟,2020/11/28 13:20,0,,
703,0,跌鸭！等着加仓！,负,"http://guba.eastmoney.com/news,000001,888977342.html",止盈止盈止盈,2020/11/28 12:41,2,,
804,1,会破净吗？,负,"http://guba.eastmoney.com/news,000001,888976287.html",風雾霾,2020/11/28 12:30,25,,难说
670,0,垃圾，一个月了，天天绿帽,负,"http://guba.eastmoney.com/news,000001,888959540.html",股友yKR9s5,2020/11/28 11:26,15,,
883,3,平安平时根本不是这个量，看来都被吓到了[困顿],负,"http://guba.eastmoney.com/news,000001,888954508.html",周先生66666,2020/11/28 11:12,15,,平安最近怎么了-----平安最近怎么了-----五个点进去了-----事实是这样的每天1至2角一直往下……
819,1,今天辅助招商大哥拉大盘，明天继续深绿，不低于15以下,负,"http://guba.eastmoney.com/news,000001,888949174.html",干兴仔玩绿啤,2020/11/28 11:02,2,,招行还没跌就吓尿了-----
653,0,买上您就跌！,负,"http://guba.eastmoney.com/news,000001,888948981.html",股友5LxaQZ,2020/11/28 11:01,2,,
723,0,快乐的黑周四，平安银行回调没有结束。跳水,负,"http://guba.eastmoney.com/news,000001,888944823.html",小明同学9号,2020/11/28 10:55,4,,
734,0,腰斩应该不会，打个8折应该有，还有，主力最近做空赚,负,"http://guba.eastmoney.com/news,000001,888928378.html",水镜zzz,2020/11/28 10:26,3,,
659,0,开始你的表演[哭],负,"http://guba.eastmoney.com/news,000001,888928081.html",周先生66666,2020/11/28 10:26,15,,
663,0,完喽，又开始了,负,"http://guba.eastmoney.com/news,000001,888923185.html",周先生66666,2020/11/28 10:18,15,,
908,2,平安银行真是银行板块的慈善家，银行板块涨时激流勇退,负,"http://guba.eastmoney.com/news,000001,888918671.html",股友O545ub,2020/11/28 10:09,2,,这么高位，我还是买袖珍银行，苏农银行吧，-----今天给你个大绿帽...让你瞎说
1114,0,高点下来巳经跌去15%，重仓主力继续砸,负,"http://guba.eastmoney.com/news,000001,888867759.html",風雾霾,2020/11/27 23:27,25,,
1044,0,高点下来已经跌去15%,负,"http://guba.eastmoney.com/news,000001,888867658.html",風雾霾,2020/11/27 23:25,25,,
1433,5,请问为什么天天跌,负,"http://guba.eastmoney.com/news,000001,888786717.html",欧小菲,2020/11/27 21:53,25,,我从16.4现在15.4我真的太难了兄弟-----我从16.4现在15.4我真的太难了兄弟-----我也是啊----------因为年底了，清仓获利-----我从16.4现在15.4我真的太难了兄弟-----做短线别做银行，长线你买的早了点，放着呗，过完年你就赚了-----我没买，我就问问原因。引以为戒
1024,0,明天3000亿保不住了,负,"http://guba.eastmoney.com/news,000001,888856149.html",披着羊皮的狼88,2020/11/27 21:31,3,,
940,0,买入就给套，不知谁倒霉，,负,"http://guba.eastmoney.com/news,000001,888845025.html",慧168888,2020/11/27 19:48,25,,
985,0,年前银行都跌吧，去年也这样的啊,负,"http://guba.eastmoney.com/news,000001,888841469.html",戴套皮皮虾,2020/11/27 19:18,2,,
1268,0,不要心存侥幸，中期趋势已成，后面还有加速下跌！~,负,"http://guba.eastmoney.com/news,000001,888834587.html",A波波熊,2020/11/27 18:14,15,,
1222,0,无比失望，看看招行,负,"http://guba.eastmoney.com/news,000001,888833923.html",股友1OMQEF,2020/11/27 18:06,2,,
1025,1,底在何方？,负,"http://guba.eastmoney.com/news,000001,888818864.html",股友XQPGLX,2020/11/27 16:18,25,,底在14左右
1162,1,不破15我提头来见,负,"http://guba.eastmoney.com/news,000001,888808809.html",g啊啊啊g,2020/11/27 15:27,5,,"""头""重要，还是""股""重要？大家都仁慈点，让跌到15以下，免得你掉了""头""。阿弥陀佛！"
782,0,有雷，平安系,负,"http://guba.eastmoney.com/news,000001,888791858.html",漫步得者,2020/11/27 14:42,25,,
787,0,平安银行，多方非常被动！！！,负,"http://guba.eastmoney.com/news,000001,888791690.html",hehenile,2020/11/27 14:42,1,,
686,0,向14去了,负,"http://guba.eastmoney.com/news,000001,888789005.html",雷麻子,2020/11/27 14:37,25,,
713,0,平平安安每天拉稀?,负,"http://guba.eastmoney.com/news,000001,888786158.html",股友HWEIKU,2020/11/27 14:33,15,,
653,0,现在不撑指数了，就天天拉稀了！,负,"http://guba.eastmoney.com/news,000001,888781612.html",清新而迈,2020/11/27 14:25,25,,
4862,0,阿里上市、MSCI扩容...这么多利好为什么A股还是没怎么,负,"http://guba.eastmoney.com/news,cfhpl,888779587.html",广发基金,2020/11/27 14:18,45,,
874,1,何时是头，天天跌，跌停板,负,"http://guba.eastmoney.com/news,000001,888777600.html",晴朗季,2020/11/27 14:18,15,,14
638,0,垃圾。去你乃乃的,负,"http://guba.eastmoney.com/news,000001,888775405.html",三十年小韭菜,2020/11/27 14:13,2,,
734,1,买了这垃圾以后，天天想骂人！,负,"http://guba.eastmoney.com/news,000001,888774387.html",股海重生脱胎换骨,2020/11/27 14:12,25,,淡定兄弟，就是一场资本游戏，没必要在意涨跌，留点口德。
662,0,TMD,负,"http://guba.eastmoney.com/news,000001,888774113.html",Ken34359,2020/11/27 14:10,2,,
972,3,这事儿主要怨我，最近我转换了三支股票，每支都是一买,负,"http://guba.eastmoney.com/news,000001,888774416.html",都市传说烈风斩,2020/11/27 14:09,1,,我想在14.90等它!-----我也有份，对不起-----15.60等它，上去加三分之一仓位，下来，不解释全仓割。
690,0,没有最低只有更低,负,"http://guba.eastmoney.com/news,000001,888774259.html",股友pJyqYH,2020/11/27 14:09,15,,
718,0,果然钓鱼线吸引了不少接盘侠。无论怎么诱多，改变不了,负,"http://guba.eastmoney.com/news,000001,888772565.html",水镜zzz,2020/11/27 14:06,3,,
676,0,真LJ,负,"http://guba.eastmoney.com/news,000001,888773036.html",Your name,2020/11/27 14:06,5,,
640,0,平安银行也并不平安啊,负,"http://guba.eastmoney.com/news,000001,888772233.html",接盘小能手,2020/11/27 14:06,15,,
668,0,卖了卖了草太垃圾了,负,"http://guba.eastmoney.com/news,000001,888761154.html",股霸王110,2020/11/27 13:42,35,,
597,0,简直就是一坨屎[围观],负,"http://guba.eastmoney.com/news,000001,888757813.html",股友O545ub,2020/11/27 13:34,2,,
800,1,你就不能学学招商？,负,"http://guba.eastmoney.com/news,000001,888750783.html",股友0Yu8mL,2020/11/27 13:19,1,,都不想赚钱的
5398,2,建行、平安为何被国务院点名批评？小微贷款捆绑销售背,负,"http://guba.eastmoney.com/news,601939,888641943.html",建设银行资讯,2020/11/27 13:02,4,小微企业要想从银行贷款，先要购买保险、承担抵押物评估费，不然就要提高贷款利率？近日，国务院办公厅督察室点名批评建设银行、平安银行贷款搭售保险的四起案例，再次揭开了银行贷款的捆绑销售乱象。　　通报问题主要包括违规向小微企业借款客户搭售人身险产品、违规将押品评估费转嫁给小微企业借款客户承担、“一刀切”要求所有小微企业借款客户为抵押物购买财产保险、违规在个人经营贷款过程中搭售高额人身险产品四个方面。三起案例涉及的贷款金额分别为1.93亿元、6.19亿元、41.58亿元，购买的保险金额为47.9万元、201.8万元、2327.7万元，费率在0.25%~0.5%。　　“捆绑销售是行业老毛病，2017年监管出台规定明确禁止，如今还是层出不穷。”银行业人士对第一财经记者说，除了捆绑销售保险，购买理财、先存后贷、承担抵押物评估及登记费等现象屡禁不止。眼下，一些银行为了完成任务还以办理自家ETC设备作为贷款条件。　　其实，在银行各类贷款中，小微、个人经营性贷款风险相对较高。为了防范风险，双方协商后客户同意购买保险，有一定合理性，但在实际中往往变成了银行强制。而这种现象的背后，是银行追求中间业务收入、平衡小微贷款总体成本与收益等诸多考量。　　业内人士认为，一些拥有关联银保销售渠道的险企，在利用强势渠道做大规模的同时，副作用也开始显现。监管公开通报之后，一些金融机构的交叉销售，将会受到影响。　　捆绑销售乱象　　根据国务院办公厅督察室11月18日通报，小微企业借款时违规搭售保险的四起案例中，三起集中于建设银行北京市分行，一起案例发生在平安银行北京分行。　　通报显示，2018年1月至2019年5月，建行通州分行新发放抵押类小微企业贷款137笔、5.92亿元。其中，47笔、1.93亿元的贷款，由该行客户经理强制要求借款人购买了银行为第一受益人的“贷无忧”人身险47.91万元。　　同期，建行北京市分行新放抵押类小微企业贷款2114笔、累计金额98.11亿元，其中160笔、累计6.19亿元的贷款，由借款人购买了201.85万元的“贷无忧”。此外，上述贷款抵押物全部由借款方购买了总金额849.22万元的财产保险，并承担了295.58万元的抵押物评估费。　　相比建行北京市分行，平安银行北京分行搭售的保险金额则要大得多。核查发现，2017年6月中旬至2019年4月底，该行办理个人抵押经营贷款4721笔，累计发放133.73亿元，其中1295笔、41.58亿元，由借款人购买了2327.78万元保险。抽查发现，13位借款人反映该行办理贷款时，将购买保险与贷款强行挂钩。如办理贷款时必须按贷款额度的1%购买保险，否则贷款利率上调。　　“这是典型的捆绑销售。”一位上市银行中高层人士对第一财经记者说，捆绑销售是行业痼疾，2017年监管出台“七不准四公开”禁令，禁止银行借提供融资之机搭售其他产品，但两年来类似情况仍然屡禁不止。　　“捆绑销售非常普遍，只要不被举报，该干还是照样干。”某全国性银行中层人士对第一财经记者说，眼下，一些银行为了完成任务，贷款时还要求企业必须安装ETC，如果已经安装而又想获得贷款，就必须改装该行的ETC。　　该人士说，银行捆绑销售的内容非常广泛，除了买保险、安装ETC，还有要求贷款方承担抵押物登记、评估费用，购买理财，先存后贷等各种条件，如果不满足要求，即便能获得贷款，利息等成本也会提高。　　“捆绑销售有银行人员考核、业绩的原因，但更多还是银行转嫁成本的行为。”上述股份制银行人士说，一些银行甚至将捆绑销售的任务，层层分解到个人。　　捆绑销售争议　　根据产品信息，“贷无忧”是指借款人在向银贷款时，以借款法人所有人、股东及高级管理人员为被保险人投保人，以意外伤害身故及意外伤害残疾为保险责任，并将第一受益人权利让渡给贷款发放机构的新型保险业务，期限不超过一年。而“平安福”保险产品，以重大疾病、身故、意外伤害身故及残疾等为保险责任，交费频次为年交，交费年期10至30年。　　建设银行、平安银行要求借款方购买的保险，类型均与个人经营者、抵押物有关。根据通报，建行北京市分行及其下辖通州分行的三起案件中，两件为“贷无忧”人身险，一笔为财产险，且抵押物财产险购买金额最大；而平安银行北京分行涉及的则全部为人身险。　　业内人士认为，为易遭受自然灾害的抵押物、小微企业经营风险购买保险，特别是在小微企业生命周期较短、抵御风险能力差的情况下，如果双方协商一致，确有其必要性。但购买人身险，看不出来有多少必要性。　　“银行捆绑销售有一个分水岭，那就是2017年出台的‘七不准四公开’，明确规定了不准搞借贷搭售。”上述上市银行人士说，规定落地后，借发放贷款捆绑销售，不只是合理性存在问题，可能还涉嫌违规。　　该人士认为，如果双方协商后你情我愿购买，就不叫捆绑销售。但实际上，在贷款过程中，往往是银行强迫小微企业、个人经营者购买。如果是防范风险，增信、担保的手段很多，并非只有买保险一种。而在通常以房产为抵押物的情况下，购买抵押物财产险的必要性不足；而转嫁评估费本来就是违规。　　背后的利益考量　　“如果不是线上审核，对银行和个人来说，做小微贷款还是不划算。”上述股份制银行人士说，对传统银行来说，小微企业审核成本高，扣除业务拓展、风险、资金成本后，加之今年小微贷款利率持续下行，如果没有其他收入，单笔30万元以下的贷款可能亏损。但为了完成考核，银行又必须发放一定规模的小微贷款。　　数据显示，2019年1~9月，商业银行新发放的普惠贷款利率为6.75%，较2018年全年平均水平下降0.64个百分点。其中，五家大型银行1~9月发放的贷款利率为4.75%，比2018年全年平均水平下降0.68个百分点，加之五家银行通过发放信用贷款、减费让利等下降贷款成本0.8个百分点，贷款成本下降1个百分点的目标已经实现。　　在此情况下，银行就会以较高的成本向小微企业放贷，但业内人士称，2018年下半年以来，监管多次引导银行降低小微企业融资成本，如果高成本的贷款占比过高，就会拉高小微企业贷款总体利率，又面临监管考核的不利局面。在此情况下，购买保险、转嫁评估成本、搭售的方式，既保证了收益，还平衡了小微贷款的总体利率。　　这在国务院11月18日的通报中也有所反映。根据核查组对部分借款人电话回访及见面访谈，平安银行13名借款人反映，该行在办理贷款过程中，强行要求贷款必须上保险，贷款额度与保费金额挂钩，保费一般为贷款额度的1%，否则贷款利率上调。　　华东某银行人士亦称，该行的小微贷款分为两类，一类是收益相对较低，但“风险较小可以跑量”的，如房屋抵押、票据类，能做尽量做；一类是风险高收益也高，要通过收益覆盖风险，但为了平衡小微贷款总体成本，这类贷款利息高。　　上述业内人士告诉记者，通过捆绑销售，既平衡了小微贷款总体利率，还美化了财务报表，表面上做大了中间业务收入。此外，一些银行推行收入结构转型，对中间业务收入极为重视，设置的目标较高，也催生了捆绑销售的行为。业务人员为了完成任务，利用强势地位，要求小微、个人经营者贷款时购买保险、其他产品和服务。　　国务院办公厅督查室在11月18日的通报中也表示，建设银行、平安银行过于重视发展中间业务收入等经营效益类考核指标，对保险销售设定的激励机制较高，使得基层业务人员多以短期利益为先，忽视了合规经营、风险管理的重要性，导致小微企业客户利益受到损害。　　强势渠道副作用显现　　上述上市银行人士说，贷款买保险更为重要的原因是，一些银行销售的保险产品来自子公司或关联方。　　建设银行、平安银行就是这种情况，两家银行北京分行搭售的保险，就来自自身的子公司和关联方。公开信息显示，“贷无忧”由建信人寿发行，“平安福”则是中国平安的主力人身险产品。　　原名太平洋安泰的建信人寿，由建行收购后于2011年7月更名。在被收购之前保费、利润规模都比较小，经纪人代理为主要渠道。建行控股、更名之后，其保费收入、利润规模都快速增长，但对银保渠道也高度依赖。2018年年报显示，建信人寿九款排名前五的产品中，八款来自银保渠道。　　2018年，在开展互联网人身保险业务的公司中，建信人寿以294.5亿元的规模保费位列首位。工银安盛、平安人寿、农银人寿、光大永明、平安健康等位居前十，累计实现规模保费1100.4亿元，占互联网人身保险总规模保费的92.2%。规模保费排名靠前的银行系保险公司居多，依托母行庞大的客户资源及手机银行、网上银行等线上平台，成就了银行系保险公司开展互联网业务的天然优势。　　平安银行虽然不是险企母公司，但作为中国平安的重要业务板块，占据了中国平安综合金融的重要一翼，为其零售转型带来资源支持的同时，也在反哺中国平安的保险业务。2017年3月，该行高管曾表示，平安银行的保险销售水平，与招商银行，以及汇丰、花旗等外资银行相比，还有很大差距，保险在其中间收入中占比“不是高了，而是低了”，需要大踏步前进。　　“银行在贷款时要求客户买保险，肯定有收入方面的考虑，但建行、平安银行卖的是子公司、集团的产品，捆绑销售多少与交叉销售有关。”上述上市银行人士说，此次被通报后，两家银行将面临整改、规范，这对其交叉销售会有一定影响。,600781辅仁药业净资产9.37-----这是人家规避风险的方式我不觉得这个是不好的事情
943,3,下午，拉高，诱多，勿追,负,"http://guba.eastmoney.com/news,000001,888740851.html",神的格局,2020/11/27 12:25,2,,"-----下午，拉高，诱多，我准备出货----------噗。。首先他就不会拉高，然后如果拉了就是真拉。-----有啥拉高的，他是银行板块跌的最多的，17,16一堆套牢盘"
827,3,诱多后，跳水，下午俯冲式轰炸！,负,"http://guba.eastmoney.com/news,000001,888728773.html",小明同学9号,2020/11/27 11:31,4,,你还活着？-----市场不需要银行股，只会扰乱市场秩序，银行股退出股市，滚！-----做多科技股吧！
666,0,稳指数靠招行，平安龙头已废死,负,"http://guba.eastmoney.com/news,000001,888724097.html",風雾霾,2020/11/27 11:18,25,,
704,0,什么垃圾主力，特么的都跌到近期低点了，要把自己套进,负,"http://guba.eastmoney.com/news,000001,888723224.html",股友O545ub,2020/11/27 11:17,2,,
625,0,完了，真后悔买这货，下年也解不了套,负,"http://guba.eastmoney.com/news,000001,888717926.html",股友t2lXJR,2020/11/27 11:05,15,,
914,4,平银的垃圾主力真的很恶心。16上面活埋了多少人。可惜,负,"http://guba.eastmoney.com/news,000001,888713226.html",水镜zzz,2020/11/27 10:56,3,,16.079被套了一万多-----近期15都悬呢-----16.079被套了一万多-----劝你有反弹还是早点走。我割点肉走了。平银不砸出个大坑，短期是不会拉的。走势各种崩塌。-----被套了十万多-----
882,4,明年还会回到9元,负,"http://guba.eastmoney.com/news,000001,888709491.html",周末绿茶,2020/11/27 10:55,3,,回到9块就太好了，我请你吃饭桑拿。-----平安回到9元的必要条件是大盘跌破两千点。-----到那个位，都发了。-----回到9块就太好了，我请你吃饭桑拿。-----真要那样，还是我请你吧
708,2,终于跌破3000亿了,负,"http://guba.eastmoney.com/news,000001,888712320.html",至今仍亏损,2020/11/27 10:53,2,,去撑港股了-----去撑港股了-----港股交易费好高啊
